table	column	label	nulltype	datatype	structure	description
table	table			table_name	unique	name of this table
table	path			path		path to the TSV file for this table, relative to the table.tsv file
table	type		empty	table_type		type of this table, used for tables with special meanings
table	edit_view		empty	word		the name of a custom view for editing this table
table	description		empty	description		a description of this table
column	table			table_name	from(table.table)	the table that this column belongs to
column	column			column_name		the name of this column
column	label		empty	label		the name of this column
column	nulltype		empty	datatype_name	from(datatype.datatype)	the datatype for NULL values in this column
column	datatype			datatype_name	from(datatype.datatype)	the datatype for this column
column	structure		empty	label		schema information for this column
column	description		empty	description		a description of this column
datatype	datatype			datatype_name	primary	the name of this datatype
datatype	parent		empty	datatype_name	tree(datatype)	the parent datatype
datatype	condition		empty	datatype_condition		
datatype	description		empty	text		a description of this datatype
datatype	transform		empty	text		data type transformation
datatype	structure		empty	text		data type structure
datatype	SQLite type		empty	sql_type		the SQL type for representing this data in SQLite
datatype	PostgreSQL type		empty	sql_type		the SQL type for representing this data in PostgreSQL
datatype	HTML type		empty	html_type		the HTML type for viewing and editing this data
Siletti_all_non_neuronal_cells_with_cids_annotation	cell_set_accession	cell set accession		word	primary	
Siletti_all_non_neuronal_cells_with_cids_annotation	cell_label	cell label	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation	cell_fullname	cell fullname	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation	parent_cell_set_accession	parent cell set accession	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation	parent_cell_set_name	parent cell set name	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation	labelset	labelset	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation	cell_ontology_term_id	cell ontology term id	empty	autocomplete_cl		
Siletti_all_non_neuronal_cells_with_cids_annotation	cell_ontology_term	cell ontology term	empty	ontology_label		
Siletti_all_non_neuronal_cells_with_cids_annotation	rationale	rationale	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation	rationale_dois	rationale dois	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation	marker_gene_evidence	marker gene evidence	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation	synonyms	synonyms	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation	Cluster ID	Cluster ID	empty	text		
Siletti_all_non_neuronal_cells_with_cids_labelset	name	name		word	primary	
Siletti_all_non_neuronal_cells_with_cids_labelset	description	description	empty	text		
Siletti_all_non_neuronal_cells_with_cids_labelset	rank	rank	empty	text		
Siletti_all_non_neuronal_cells_with_cids_labelset	annotation_method	annotation method	empty	text		
Siletti_all_non_neuronal_cells_with_cids_labelset	automated_annotation_algorithm_name	automated annotation algorithm name	empty	text		
Siletti_all_non_neuronal_cells_with_cids_labelset	automated_annotation_algorithm_version	automated annotation algorithm version	empty	text		
Siletti_all_non_neuronal_cells_with_cids_labelset	automated_annotation_algorithm_repo_url	automated annotation algorithm repo url	empty	text		
Siletti_all_non_neuronal_cells_with_cids_labelset	automated_annotation_reference_location	automated annotation reference location	empty	text		
Siletti_all_non_neuronal_cells_with_cids_metadata	cellannotation_schema_version	cellannotation_schema_version		word	primary	
Siletti_all_non_neuronal_cells_with_cids_metadata	cellannotation_timestamp	cellannotation timestamp	empty	text		
Siletti_all_non_neuronal_cells_with_cids_metadata	cellannotation_version	cellannotation version	empty	text		
Siletti_all_non_neuronal_cells_with_cids_metadata	cellannotation_url	cellannotation url	empty	text		
Siletti_all_non_neuronal_cells_with_cids_metadata	author_name	author name	empty	text		
Siletti_all_non_neuronal_cells_with_cids_metadata	author_contact	author contact	empty	text		
Siletti_all_non_neuronal_cells_with_cids_metadata	orcid	orcid	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation_transfer	target_node_accession	target_node_accession		word	primary	
Siletti_all_non_neuronal_cells_with_cids_annotation_transfer	transferred_cell_label	transferred cell label	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation_transfer	source_taxonomy	source taxonomy	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation_transfer	source_node_accession	source node accession	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation_transfer	algorithm_name	algorithm name	empty	text		
Siletti_all_non_neuronal_cells_with_cids_annotation_transfer	comment	comment	empty	text		
